Easting,Northing,Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Elevation_shifted,Elevation_log,Annual_Rainfall_log,Elevation_log_scaled,Annual_Rainfall_log_scaled,Hydrology_Category_encoded,Hydrology_scaled,Runoff_Index,Cluster
215414,374191,Peat,Peat soils,194.8,1717,Poorly Drained,201.3,5.304796332645746,7.4489161025442,1.096654787701367,1.4624361519041695,0,0.0,2.4624361519041695,2
178059,278436,Fine loamy,Luvisol: Well drained mineral soils,98.3,1139,Well Drained,104.8,4.6520537718869415,7.038783541388542,0.23161483327454513,-0.18083947644444387,3,1.0,-0.18083947644444387,3
245584,281521,Peat,Peat soils,65.3,961,Peat,71.8,4.273884476054178,6.8690144506657065,-0.26954989858009415,-0.8610522555655302,1,0.3333333333333333,-0.19438558889886348,0
143316,249960,Peat,Peat soils,32.1,1119,Peat,38.6,3.653252276470785,7.02108396428914,-1.0920359473208567,-0.2517562639279056,1,0.3333333333333333,0.4149104027387611,0
184948,429763,Peat,Peat soils,107.0,1442,Peat,113.5,4.7318028369214575,7.274479558773871,0.337301411307459,0.7635223171590269,1,0.3333333333333333,1.4301889838256936,2
224011,265902,Fine loamy,Surface-water Gley: Poorly drained mineral soil,80.1,1037,Poorly Drained,86.6,4.461299815568389,6.945051063725834,-0.02117976539344231,-0.5563968223275464,0,0.0,0.4436031776724536,0
131587,186704,Fine loamy,Brown Earth: Well drained mineral soils,21.7,1238,Well Drained,28.2,3.339321977944068,7.122059881629142,-1.5080686491184268,0.15282332747886743,3,1.0,0.15282332747886743,3
97478,314195,Peat,Peat soils,113.3,1764,Peat,119.8,4.785823685681349,7.475905969367397,0.4088919515275288,1.5705762864937296,1,0.3333333333333333,2.237242953160396,2
51648,62534,Peat,Lithosols: Stony mineral soils often overlying bedrock,230.2,1914,Poorly Drained,236.7,5.466793516519938,7.557472901614746,1.3113397875470953,1.89739001584881,0,0.0,2.89739001584881,2
209725,327650,Peat,Peat soils,343.0,1847,Poorly Drained,349.5,5.856503561673865,7.521859252201629,1.8277987714805715,1.7546970242164894,0,0.0,2.7546970242164894,2
242076,253142,Fine loamy,Luvisol: Well drained mineral soils,97.3,986,Well Drained,103.8,4.642465970731788,6.894670039433482,0.21890870443767874,-0.7582581647129901,3,1.0,-0.7582581647129901,3
169562,397120,Peat,Peat soils,55.0,1311,Peat,61.5,4.119037174812473,7.179307969504034,-0.4747595945029818,0.3821988915874316,1,0.3333333333333333,1.0488655582540982,1
195569,328024,Peat,Peat soils,218.6,1294,Peat,225.1,5.4165447479126865,7.166265974133638,1.244748155379751,0.32994360837651504,1,0.3333333333333333,0.9966102750431818,2
141732,88568,Fine loamy,Surface-water Gley: Poorly drained mineral soil,320.8,1729,Well Drained,327.3,5.790877181507135,7.455876687491824,1.7408281274296737,1.4903250851096936,3,1.0,1.4903250851096936,3
128363,48760,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,94.5,1647,Well Drained,101.0,4.61512051684126,7.4073177104694174,0.18266944012535202,1.295764128394588,3,1.0,1.295764128394588,3
268585,295913,Fine loamy,Brown Earth: Well drained mineral soils,179.5,1070,Poorly Drained,186.0,5.225746673713202,6.976348070447749,0.9918950899715729,-0.4309992966069141,0,0.0,0.569000703393086,2
217003,161067,Fine loamy,Luvisol: Well drained mineral soils,108.3,919,Well Drained,114.8,4.743191483885466,6.824373670043086,0.3523940913975651,-1.0399141986916876,3,1.0,-1.0399141986916876,3
305570,250930,Fine loamy,Luvisol: Well drained mineral soils,70.5,791,Well Drained,77.0,4.343805421853684,6.674561391814426,-0.1768879282964763,-1.6401661390566582,3,1.0,-1.6401661390566582,3
93997,323843,Peat,Peat soils,124.5,1664,Peat,131.0,4.875197323201151,7.417580402414544,0.5273333892012347,1.3368835935430188,1,0.3333333333333333,2.0035502602096855,2
88693,274592,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,107.0,2060,Well Drained,113.5,4.7318028369214575,7.630946580890459,0.337301411307459,2.1917765579430815,3,1.0,2.1917765579430815,3
215744,265355,Peat,Peat soils,88.0,1024,Peat,94.5,4.548599834499697,6.932447891572509,0.09451363187792708,-0.6068938752342536,1,0.3333333333333333,0.0597727914324131,0
170282,155871,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,46.4,1044,Poorly Drained,52.9,3.9684033388642534,6.951772164398911,-0.6743854415326405,-0.5294674293024603,0,0.0,0.47053257069753973,2
178792,255946,Peat,Peat soils,48.9,1061,Peat,55.4,4.014579593753238,6.967909201801884,-0.6131908637218512,-0.46481126007918594,1,0.3333333333333333,0.2018554065874808,0
187880,286540,Peat,Peat soils,53.7,1068,Peat,60.2,4.097672352314776,6.974478911025045,-0.5030730923362782,-0.4384884462520242,1,0.3333333333333333,0.22817822041464253,0
256580,223824,Peat,Peat soils,68.7,859,Peat,75.2,4.320151230955794,6.756932389247553,-0.20823538661530802,-1.3101307666316648,1,0.3333333333333333,-0.6434640999649981,0
101538,158077,Peat,Peat soils,32.7,1183,Peat,39.2,3.6686767467964168,7.076653815443951,-1.071594836368889,-0.029104880637703882,1,0.3333333333333333,0.6375617860289629,1
195894,147014,Fine loamy,Brown Earth: Well drained mineral soils,190.6,1166,Poorly Drained,197.1,5.283711214158674,7.062191632286556,1.0687119645553815,-0.08705042158255287,0,0.0,0.9129495784174472,2
96624,58533,Peat,Lithosols: Stony mineral soils often overlying bedrock,249.9,2283,Poorly Drained,256.4,5.546738725046515,7.7336835707759,1.4172863026020965,2.6034122279638505,0,0.0,3.6034122279638505,2
180456,397286,Peat,Peat soils,186.0,1568,Peat,192.5,5.260096153727839,7.358193752733032,1.0374163634609335,1.0989394669027843,1,0.3333333333333333,1.765606133569451,2
92000,234585,Peat,Peat soils,14.9,1444,Peat,21.4,3.0633909220278057,7.275864600546533,-1.873743269381081,0.7690717555719306,1,0.3333333333333333,1.4357384222385974,1
218446,187594,Peat,Peat soils,107.2,983,Peat,113.7,4.73356340075649,6.891625897052253,0.33963457931453966,-0.7704551114031056,1,0.3333333333333333,-0.10378844473643889,0
