Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Cluster,PC1,PC2,TSNE1,TSNE2
Peat,Peat soils,194.8,1717,2,0,-0.7312167357397872,1.5367103477497452,-18.76661,40.66195
Fine loamy,Luvisol: Well drained mineral soils,98.3,1139,3,2,1.7162611422201826,0.17081742463948446,54.13248,22.750336
Peat,Peat soils,65.3,961,1,1,-1.9826273547185793,-1.4197772494216045,-54.57798,-46.89256
Peat,Peat soils,32.1,1119,1,1,-2.0365251102534723,-1.3953209543463898,-72.206924,-21.00675
Peat,Peat soils,107.0,1442,1,1,-2.3556602993173357,-0.18470920392891288,-68.86037,9.255843
Fine loamy,Surface-water Gley: Poorly drained mineral soil,80.1,1037,2,0,-0.12226256229621413,-0.6625179520284029,-4.3944345,-43.63484
Fine loamy,Brown Earth: Well drained mineral soils,21.7,1238,3,2,1.764151942379197,-0.2674484770254081,15.885877,6.50832
Peat,Peat soils,113.3,1764,1,1,-2.5737475568541512,0.4663752418745344,-76.04429,21.433235
Peat,Lithosols: Stony mineral soils often overlying bedrock,230.2,1914,2,3,-0.9108113134881588,2.1914861032063846,-22.738691,49.200912
Peat,Peat soils,343.0,1847,2,3,-1.0324394504588241,2.9836441425607307,-20.13678,58.3808
Fine loamy,Luvisol: Well drained mineral soils,97.3,986,3,2,1.8169689062887677,-0.12234336787355837,78.12457,2.5467365
Peat,Peat soils,55.0,1311,1,1,-2.1945820841015786,-0.8514751809262653,-69.36879,-4.7431912
Peat,Peat soils,218.6,1294,1,1,-2.422991124259063,0.4467947049817509,-53.326916,33.023212
Fine loamy,Surface-water Gley: Poorly drained mineral soil,320.8,1729,3,2,1.007915628745394,3.078709790138548,22.096298,71.03415
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,94.5,1647,3,2,1.392305869001902,1.08630574185311,18.807423,47.091824
Fine loamy,Brown Earth: Well drained mineral soils,179.5,1070,2,0,-0.2891446805890152,0.2070037132052418,1.1934453,15.869872
Fine loamy,Luvisol: Well drained mineral soils,108.3,919,3,2,1.8443297831463026,-0.15773971846542667,92.603226,1.9436508
Fine loamy,Luvisol: Well drained mineral soils,70.5,791,3,2,1.9826796757797691,-0.7034819458023666,69.35811,-53.66312
Peat,Peat soils,124.5,1664,1,1,-2.525273773661464,0.3711273364482648,-71.517784,20.871508
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,107.0,2060,3,2,1.1061170177315303,1.95731992265535,12.200493,50.058292
Peat,Peat soils,88.0,1024,1,1,-2.056715121975472,-1.1178780589122925,-45.8472,-53.274784
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,46.4,1044,2,0,-0.07748163695104715,-0.9234319375431571,-18.934086,-54.023796
Peat,Peat soils,48.9,1061,1,1,-2.023490697126329,-1.3668012774699938,-61.894268,-30.291855
Peat,Peat soils,53.7,1068,1,1,-2.0350563045157957,-1.3147403709127516,-60.75219,-28.237148
Peat,Peat soils,68.7,859,1,1,-1.921440600312358,-1.5821589579949893,-52.770065,-73.29464
Peat,Peat soils,32.7,1183,1,1,-2.0789171591924447,-1.2712145296368171,-73.08116,-17.610994
Fine loamy,Brown Earth: Well drained mineral soils,190.6,1166,2,0,-0.3676609263063897,0.47608137362374037,-2.5258517,20.319868
Peat,Lithosols: Stony mineral soils often overlying bedrock,249.9,2283,2,3,-1.178996877358244,3.0390607888623022,-27.933056,53.59083
