Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Raw_Hydrology,Flood_Risk_Index,Runoff_Index,Cluster_Agglo,Cluster_KMeans,UMAP1,UMAP2
Peat,Peat soils,1.9601546817119215,1.398187398621096,3,3,-0.5619672830908256,-1.9601546817119215,0,1,-6.022574,2.5951042
Fine loamy,Luvisol: Well drained mineral soils,-0.21294141061810695,-0.26850794121215515,0,0,-0.0555665305940482,3.212941410618107,0,0,16.450142,1.7627555
Peat,Peat soils,-0.9560727168035051,-0.7817809005379661,2,2,0.17429181626553902,1.9560727168035053,0,0,-1.0872782,18.132769
Peat,Peat soils,-1.7037078490869966,-0.3261790602375272,2,2,1.3775287888494694,2.703707849086997,0,0,3.5148866,18.151047
Peat,Peat soils,-0.01702497535104734,0.6052095120222308,2,2,0.6222344873732781,1.0170249753510474,0,0,1.0156848,14.980631
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.6227895855445994,-0.5626306482415524,3,3,0.060158937303047,0.6227895855445994,0,1,-5.2974563,-5.0182433
Fine loamy,Brown Earth: Well drained mineral soils,-1.9379068061878493,0.016964097963436293,0,0,1.9548709041512855,4.937906806187849,0,0,7.713064,-2.684062
Peat,Peat soils,0.12484554673889225,1.5337145283307203,2,2,1.408868981591828,0.8751544532611077,0,0,1.8030634,14.863645
Peat,Lithosols: Stony mineral soils often overlying bedrock,2.7573319010744393,1.9662479210210104,3,3,-0.7910839800534288,-2.7573319010744393,0,1,-5.6487517,3.7719824
Peat,Peat soils,5.297489820399074,1.773049672286014,3,3,-3.52444014811306,-5.297489820399074,1,1,-3.7592185,5.8151217
Fine loamy,Luvisol: Well drained mineral soils,-0.23546054110857356,-0.7096920017562511,0,0,-0.47423146064767757,3.2354605411085737,0,0,18.173155,3.4233358
Peat,Peat soils,-1.1880197608553111,0.22746368240604414,2,2,1.4154834432613552,2.188019760855311,0,0,2.77098,17.30184
Peat,Peat soils,2.4961099873850268,0.17844323123447794,2,2,-2.317666756150549,-1.4961099873850268,0,1,0.23662306,10.215695
Fine loamy,Surface-water Gley: Poorly drained mineral soil,4.797565123510715,1.4327900700363192,0,0,-3.364775053474396,-1.797565123510715,1,1,6.3030853,7.0080767
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.29851410648188,1.196338482032294,0,0,1.494852588514174,3.29851410648188,0,0,11.42566,-1.6860881
Fine loamy,Brown Earth: Well drained mineral soils,1.6156119852077822,-0.4674733018496886,3,3,-2.0830852870574708,-1.6156119852077822,0,1,-7.736588,3.926429
Fine loamy,Luvisol: Well drained mineral soils,0.01224989428655919,-0.9028902504912474,0,0,-0.9151401447778066,2.987750105713441,0,0,17.488066,6.1508656
Fine loamy,Luvisol: Well drained mineral soils,-0.8389732382530787,-1.2719854122536283,0,0,-0.4330121740005496,3.838973238253079,0,0,20.357979,1.4233695
Peat,Peat soils,0.3770598082321184,1.2453589332038602,2,2,0.8682991249717418,0.6229401917678816,0,0,1.188733,14.403886
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.01702497535104734,2.387247089906226,0,0,2.404272065257273,3.017024975351047,0,0,10.832053,-1.7410932
Peat,Peat soils,-0.444888454669913,-0.6001168756080443,2,2,-0.15522842093813127,1.444888454669913,0,0,-1.8350711,16.224327
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,-1.381684283073324,-0.5424457565826722,3,3,0.8392385264906518,1.381684283073324,0,0,-0.33665934,-4.610218
Peat,Peat soils,-1.3253864568471576,-0.493425305411106,2,2,0.8319611514360516,2.3253864568471574,0,0,1.6489222,18.493471
Peat,Peat soils,-1.2172946304929178,-0.4732404137522258,2,2,0.7440542167406919,2.2172946304929178,0,0,1.3543068,18.363886
Peat,Peat soils,-0.8795076731359186,-1.0759036075673634,2,2,-0.19639593443144476,1.8795076731359186,0,0,-2.115067,17.60721
Peat,Peat soils,-1.6901963707927166,-0.14163147935633674,2,2,1.5485648914363799,2.690196370792717,0,0,3.904885,17.996223
Fine loamy,Brown Earth: Well drained mineral soils,1.8655743336519615,-0.19065193052790297,3,3,-2.0562262641798643,-1.8655743336519615,0,1,-7.4475884,4.2125297
Peat,Lithosols: Stony mineral soils often overlying bedrock,3.2009587717366315,3.030280067039124,3,3,-0.17067870469750757,-3.2009587717366315,0,1,-5.1612024,3.6739755
Peat,Peat soils,1.761986333395815,0.9685375618820745,2,2,-0.7934487715137405,-0.761986333395815,0,1,-0.021613372,11.914167
Peat,Peat soils,-2.091036893523022,0.610976623924768,2,2,2.7020135174477904,3.091036893523022,0,0,5.3762207,15.751244
Peat,Peat soils,-0.012521149252953955,-0.7183426696100569,2,2,-0.7058215203571029,1.012521149252954,0,0,-2.4969544,14.786069
Fine loamy,Brown Earth: Well drained mineral soils,-2.2509227200053354,-0.24543949360200637,0,0,2.005483226403329,5.250922720005335,0,0,6.689739,-2.836004
Fine loamy,Brown Earth: Well drained mineral soils,-0.2782468890404599,-0.4876581935085688,0,0,-0.2094113044681089,3.27824688904046,0,0,17.386683,1.8805431
Loamy,Podzols: Well drained acid mineral soil,4.367449731142802,1.1905713701297567,0,0,-3.1768783610130455,-1.367449731142802,1,1,6.5736556,7.014606
Fine loamy,Brown Earth: Well drained mineral soils,-2.167601937190609,-0.003220793695443913,0,0,2.164381143495165,5.167601937190609,0,0,6.766049,-2.2607327
Fine loamy,Luvisol: Well drained mineral soils,-0.5687436723674794,0.0659845491350025,3,3,0.6347282215024819,0.5687436723674794,0,1,-3.2039251,-3.3425632
Peat,Peat soils,-2.0887849804739758,0.24188146216238715,3,3,2.330666442636363,2.0887849804739758,0,0,1.1702833,-0.10715185
Coarse loamy,Brown Earth: Well drained mineral soils,-1.1992793261005446,-0.579931983949164,3,3,0.6193473421513805,1.1992793261005446,0,0,-1.3626282,-5.4261665
Peat,Peat soils,3.4914555550636517,0.5129357215816356,2,2,-2.978519833482016,-2.4914555550636517,1,1,1.1721321,8.600409
Coarse loamy,Brown Earth: Well drained mineral soils,1.2620616365074566,-0.3838501792628992,0,0,-1.6459118157703558,1.7379383634925434,0,0,11.598163,7.420455
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-1.3569132395338108,-0.06665902462335313,3,3,1.2902542149104577,1.3569132395338108,0,0,0.09102367,-3.019254
Fine loamy,Groundwater Gley: Poorly drained mineral soil,-0.4786671504056129,-1.1047391670800495,3,3,-0.6260720166744366,0.4786671504056129,0,1,-8.0092125,-4.430733
All,River alluvium,-1.3006154133076442,1.202105593934831,1,1,2.5027210072424753,3.300615413307644,0,0,9.396243,13.086407
Peat,Lithosols: Stony mineral soils often overlying bedrock,-0.4674075851603796,1.0204415690049093,0,0,1.487849154165289,3.4674075851603794,0,0,11.354745,-1.7338394
Loamy,Brown Podzolic: Well drained acid mineral soil,-1.3006154133076442,-0.3261790602375272,3,3,0.974436353070117,1.3006154133076442,0,0,-0.44793996,-4.0907435
Peat,Peat soils,4.824588080099275,2.6784862409843546,2,2,-2.1461018391149205,-3.824588080099275,1,1,0.39811185,8.637463
Fine loamy,Brown Earth: Well drained mineral soils,0.9490457226899705,-0.42421996258065964,0,0,-1.37326568527063,2.0509542773100295,0,0,12.858723,7.153287
Fine loamy,Luvisol: Well drained mineral soils,0.5887396348425047,-0.7500617850740114,3,3,-1.3388014199165161,-0.5887396348425047,0,1,-8.708958,0.8375156
Fine loamy,Brown Earth: Well drained mineral soils,-0.25347584550094676,-0.023405685354324118,3,3,0.23007016014662265,0.25347584550094676,0,1,-5.4923334,-3.2441354
Clayey,Surface-water Gley: Poorly drained mineral soil,-0.8659961948416387,-0.7990822362455777,0,0,0.06691395859606097,3.865996194841639,0,0,17.305122,-2.2948432
Fine loamy,Brown Earth: Well drained mineral soils,-1.115958543285818,-0.5683977601440896,0,0,0.5475607831417283,4.115958543285818,0,0,14.229881,-4.2996116
Peat,Lithosols: Stony mineral soils often overlying bedrock,-0.4674075851603796,-0.011871461549249715,2,2,0.4555361236111299,1.4674075851603796,0,0,-0.42734754,16.575762
All,Lake alluvium,-1.68118871859653,-1.0989720551775122,3,3,0.5822166634190178,1.68118871859653,0,0,0.06203375,-5.33159
Peat,Lithosols: Stony mineral soils often overlying bedrock,1.03011459245565,0.13807344791671752,3,3,-0.8920411445389326,-1.03011459245565,0,1,-7.711031,1.0552412
Fine loamy,Luvisol: Well drained mineral soils,-0.40435401978707314,-0.3550146197502132,0,0,0.04933940003685994,3.404354019787073,0,0,16.834196,0.46748427
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.618285759446506,-0.3434803959451388,3,3,0.2748053635013672,0.618285759446506,0,1,-4.3413777,-4.259803
Peat,Peat soils,4.261609817837609,2.1825146173661554,2,2,-2.079095200471454,-3.261609817837609,1,1,0.52289027,8.852071
Fine loamy,Luvisol: Well drained mineral soils,-1.1745082825610311,-0.6895071100973709,0,0,0.48500117246366026,4.174508282561031,0,0,14.728039,-4.733201
Fine loamy,Brown Podzolic: Well drained acid mineral soil,-0.8975229775282918,0.32262102879790794,3,3,1.2201440063261997,0.8975229775282918,0,0,-1.3713003,-2.6614683
Fine loamy,Luvisol: Well drained mineral soils,-1.0799279345010715,-0.9201915861988589,0,0,0.15973634830221262,4.079927934501072,0,0,16.74152,-3.9608643
Peat,Peat soils,-1.7532499361660234,0.4552646025562636,0,0,2.208514538722287,4.753249936166023,0,0,8.062329,-1.9706956
Peat,Peat soils,-0.6971027161631391,-0.17335059482029136,2,2,0.5237521213428478,1.6971027161631391,0,0,-0.19173285,17.155403
Coarse loamy,Surface-water Gley: Poorly drained mineral soil,-0.8029426294683323,-0.28004216501722956,3,3,0.5229004644511027,0.8029426294683323,0,0,-2.9757826,-4.4234242
Peat,Peat soils,-0.7579043684873991,-1.1537596182516157,2,2,-0.3958552497642166,1.7579043684873992,0,0,-2.615588,16.6735
Peat,Peat soils,-1.1925235869534045,-0.349247507847676,2,2,0.8432760791057285,2.1925235869534045,0,0,1.43125,18.218765
Peat,Peat soils,-1.4785165441823303,-0.536678644680135,2,2,0.9418378995021952,2.4785165441823303,0,0,2.5156138,18.926096
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,0.06629580746367919,3.3301698859710585,3,3,3.263874078507379,-0.06629580746367919,0,0,-1.0887978,0.195185
