Easting,Northing,Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category
215414,374191,Peat,Peat soils,194.8,1717,Poorly Drained
178059,278436,Fine loamy,Luvisol: Well drained mineral soils,98.3,1139,Well Drained
245584,281521,Peat,Peat soils,65.3,961,Peat
143316,249960,Peat,Peat soils,32.1,1119,Peat
184948,429763,Peat,Peat soils,107,1442,Peat
224011,265902,Fine loamy,Surface-water Gley: Poorly drained mineral soil,80.1,1037,Poorly Drained
131587,186704,Fine loamy,Brown Earth: Well drained mineral soils,21.7,1238,Well Drained
97478,314195,Peat,Peat soils,113.3,1764,Peat
51648,62534,Peat,Lithosols: Stony mineral soils often overlying bedrock,230.2,1914,Poorly Drained
209725,327650,Peat,Peat soils,343,1847,Poorly Drained
242076,253142,Fine loamy,Luvisol: Well drained mineral soils,97.3,986,Well Drained
169562,397120,Peat,Peat soils,55,1311,Peat
195569,328024,Peat,Peat soils,218.6,1294,Peat
141732,88568,Fine loamy,Surface-water Gley: Poorly drained mineral soil,320.8,1729,Well Drained
128363,48760,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,94.5,1647,Well Drained
268585,295913,Fine loamy,Brown Earth: Well drained mineral soils,179.5,1070,Poorly Drained
217003,161067,Fine loamy,Luvisol: Well drained mineral soils,108.3,919,Well Drained
305570,250930,Fine loamy,Luvisol: Well drained mineral soils,70.5,791,Well Drained
93997,323843,Peat,Peat soils,124.5,1664,Peat
88693,274592,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,107,2060,Well Drained
215744,265355,Peat,Peat soils,88,1024,Peat
170282,155871,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,46.4,1044,Poorly Drained
178792,255946,Peat,Peat soils,48.9,1061,Peat
187880,286540,Peat,Peat soils,53.7,1068,Peat
256580,223824,Peat,Peat soils,68.7,859,Peat
101538,158077,Peat,Peat soils,32.7,1183,Peat
195894,147014,Fine loamy,Brown Earth: Well drained mineral soils,190.6,1166,Poorly Drained
