Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Hydrology_Category_Original,Raw_Hydrology,Flood_Risk_Index,Runoff_Index,Cluster,PC1_PCA,PC2_PCA,TSNE1,TSNE2
Peat,Peat soils,0.9800773408559608,1.398187398621096,Poorly Drained,Poorly Drained,6,0.4181100577651352,-3.980077340855961,1,-5.176258996161305,0.23928798556481035,-83.12151,-15.903641
Fine loamy,Luvisol: Well drained mineral soils,-0.10647070530905348,-0.26850794121215515,Well Drained,Well Drained,0,-0.16203723590310168,3.1064707053090537,0,4.103425654458359,-0.24168884270566515,45.702183,-15.179794
Peat,Peat soils,-0.47803635840175257,-0.7817809005379661,Peat,Peat,4,-0.30374454213621355,-0.5219636415982474,2,-1.2656755143794436,-0.08853511972571171,11.829465,-1.9069986
Peat,Peat soils,-0.8518539245434983,-0.3261790602375272,Peat,Peat,4,0.5256748643059711,-0.1481460754565017,2,-0.9811878231328979,0.7652429134783064,8.679845,30.641134
Peat,Peat soils,-0.00851248767552367,0.6052095120222308,Peat,Peat,4,0.6137219996977545,-0.9914875123244763,2,-1.6119554490311232,0.6066808149246531,-9.480682,20.761171
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.3113947927722997,-0.5626306482415524,Poorly Drained,Poorly Drained,6,-0.2512358554692527,-2.6886052072277002,1,-4.213329958627343,-0.00011982064880677878,-47.685886,1.3828402
Fine loamy,Brown Earth: Well drained mineral soils,-0.9689534030939246,0.016964097963436293,Well Drained,Well Drained,0,0.985917501057361,3.9689534030939244,0,4.75548789583672,1.0373693232851364,49.18326,55.22774
Peat,Peat soils,0.06242277336944613,1.5337145283307203,Peat,Peat,4,1.4712917549612743,-1.062422773369446,2,-1.6602186256570854,1.3603434042801195,-14.922999,32.425365
Peat,Lithosols: Stony mineral soils often overlying bedrock,1.3786659505372196,1.9662479210210104,Poorly Drained,Poorly Drained,6,0.5875819704837908,-4.378665950537219,1,-5.473658121705453,0.27969765082752496,-89.83738,1.823587
Peat,Peat soils,2.648744910199537,1.773049672286014,Poorly Drained,Poorly Drained,6,-0.8756952379135228,-5.648744910199537,3,-6.432594558223917,-1.3988639238932414,-80.41201,-48.768784
Fine loamy,Luvisol: Well drained mineral soils,-0.11773027055428678,-0.7096920017562511,Well Drained,Well Drained,0,-0.5919617312019644,3.117730270554287,0,4.109430426479529,-0.6263799462263355,49.906235,-44.452335
Peat,Peat soils,-0.5940098804276556,0.22746368240604414,Peat,Peat,4,0.8214735628336998,-0.40599011957234443,2,-1.1725237731863432,0.9593408989065372,-0.13357878,30.27786
Peat,Peat soils,1.2480549936925134,0.17844323123447794,Peat,Peat,4,-1.0696117624580355,-2.2480549936925134,3,-2.5620185514239493,-1.2665980201078155,-7.782631,-19.101217
Fine loamy,Surface-water Gley: Poorly drained mineral soil,2.3987825617553575,1.4327900700363192,Well Drained,Well Drained,0,-0.9659924917190383,0.6012174382446425,0,2.223644127388717,-1.6739984073393475,-13.140656,-68.16778
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.14925705324094,1.196338482032294,Well Drained,Well Drained,0,1.345595535273234,3.14925705324094,0,4.14395033617618,1.130539568466792,30.032854,64.05106
